Number,Gender,NameSet,Title,GivenName,Surname,StreetAddress,City,State,ZipCode,CountryFull,EmailAddress,Username,Password,TelephoneNumber,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,Color,Kilograms,Centimeters,GUID
16,female,Brazil,Mrs.,Giovanna,Lima,"Rua Dois-A 683","Barra Mansa",RJ,27335-110,Brazil,GiovannaCavalcantiLima@rhyta.com,Camease,kie9uj0EiVie,"(24) 3506-6617",11/18/1992,Visa,4929625103780213,483,9/2020,674.488.883-82,White,46.1,162,9e213e9e-4ad3-4782-9da2-b65ef584a585
17,female,Brazil,Ms.,Isabella,Fernandes,"Rua Antônio Hermont 1475","São João de Meriti",RJ,25530-206,Brazil,IsabellaSilvaFernandes@dayrep.com,Infichice,Eamu5oong,"(21) 3228-3914",2/9/1983,MasterCard,5104349198750171,576,9/2023,860.347.912-78,Purple,83.1,168,4191d0db-719a-49e1-a38e-e893f53d0f4d
18,male,Brazil,Mr.,Felipe,Alves,"Rua Joaquim Corrêa 925",Votorantim,SP,18111-640,Brazil,FelipeAraujoAlves@superrito.com,Dichat,Kacei0at,"(15) 3033-2276",4/10/1950,Visa,4532579916458625,162,3/2019,958.679.351-67,Blue,95.6,163,0cae7499-f25a-42a6-b821-a26e114b791e
19,male,Brazil,Mr.,Diogo,Goncalves,"Rua Mathias de Andrade Rocha 1284",Curitiba,PR,81770-255,Brazil,DiogoSouzaGoncalves@jourrapide.com,Thatten1933,ooJiecheiz7,"(41) 9196-2253",10/21/1933,MasterCard,5374577931292035,944,8/2021,312.438.661-28,Blue,67.4,176,e88262c1-242f-473c-b88b-b98d4ae57589
20,female,Brazil,Ms.,Lara,Rodrigues,"Rua da Amizade 1286","Rio de Janeiro",RJ,21862-540,Brazil,LaraRibeiroRodrigues@cuvox.de,Weland,EibohF6Yai0,"(21) 9766-3212",10/21/1998,MasterCard,5146197591450893,055,9/2021,443.345.343-92,Blue,69.7,168,b4e0852f-a4ef-40f5-9364-dc6e3e3d85fd
21,female,Brazil,Mrs.,Larissa,Sousa,"Travessa Carnaval de Veneza 323","São Paulo",SP,04892-220,Brazil,LarissaOliveiraSousa@rhyta.com,Lostelly64,Uu8ieshie,"(11) 8601-2452",7/24/1964,MasterCard,5512730423486622,056,9/2019,865.838.379-27,Blue,92.6,169,1769d545-394b-4fb6-85c9-2d9fe27ce27e
22,female,Brazil,Mrs.,Júlia,Araujo,"Rua Colômbia 1964","Jaboatão dos Guararapes",PE,54120-400,Brazil,JuliaCastroAraujo@jourrapide.com,Alitill,ool7oVeiboh,"(81) 9856-9575",3/28/1989,MasterCard,5545742092556891,141,6/2019,645.446.321-45,Purple,54.6,155,557005c8-4f86-4940-bc8b-327d22c37270
23,female,Brazil,Mrs.,Laura,Sousa,"Rua A 1289","Bragança Paulista",SP,12906-600,Brazil,LauraPereiraSousa@teleworm.us,Brect1974,Rooshieb8s,"(11) 2750-6137",1/6/1974,MasterCard,5577250895132275,867,6/2022,785.957.226-50,Purple,74.0,172,f717661a-9435-4738-8de6-6d1a114a65a5
24,male,Brazil,Mr.,Thiago,Lima,"Rua Aritaguá 580","São Paulo",SP,02262-130,Brazil,ThiagoCarvalhoLima@dayrep.com,Mignobt,Iesh3Hah,"(11) 8163-5529",4/6/1976,Visa,4929377202831568,562,1/2023,730.152.562-11,Blue,105.1,176,666d8e50-2ba8-48b5-9f23-61e38133d159
25,male,Brazil,Mr.,Nicolash,Dias,"Rua Leonídio Euzébio Oliveira 1334",Araras,SP,13607-466,Brazil,NicolashCavalcantiDias@cuvox.de,Youslorou,waeyai5oK,"(19) 5585-5073",5/28/1992,MasterCard,5313192831583162,581,7/2021,266.311.807-91,Blue,63.7,176,05f409a6-7c37-49cd-820e-7c1b06a58e66
26,male,Brazil,Mr.,Guilherme,Santos,"Rua Manhuaçu 1698","São Paulo",SP,03224-110,Brazil,GuilhermeRodriguesSantos@superrito.com,Beficed,ieth5ieQu7,"(11) 4407-5991",10/1/1933,Visa,4929978683653635,055,2/2023,988.496.806-35,Blue,79.4,162,5fb40dce-96e4-4c4b-ac21-136a45665bf6
27,male,Brazil,Mr.,Luís,Cunha,"Rua das Andorinhas 1519","Rio Verde",GO,75908-020,Brazil,LuisSouzaCunha@jourrapide.com,Froughts,mahs8uToo,"(64) 6700-6623",11/1/1939,Visa,4485617404485846,305,7/2020,600.151.177-23,Black,66.2,167,9c16af4d-7ad1-4a19-8810-db8bc5e383f0
28,male,Brazil,Mr.,Paulo,Costa,"Rua Osvaldo Cruz 1781","São Paulo",SP,05503-150,Brazil,PauloRochaCosta@jourrapide.com,Feeinesell1952,Airee2zuv,"(11) 3074-4924",5/6/1952,Visa,4556595618401102,999,11/2020,871.081.548-11,Blue,104.4,178,75613be3-428b-4d2c-9db4-7211bd8fa819
29,male,Brazil,Mr.,Guilherme,Azevedo,"Rua Daniel Bartoli 878","São Paulo",SP,05182-180,Brazil,GuilhermeSouzaAzevedo@superrito.com,Warcullin,Waish7Ei3,"(11) 5550-3397",5/29/1964,Visa,4929851423972641,988,1/2023,979.824.955-08,Blue,84.2,172,d3d8f515-fe70-4561-a131-1aa18ed9f1c9
30,male,Brazil,Mr.,Daniel,Carvalho,"Rua Mariz e Barros 993","Duque de Caxias",RJ,25075-282,Brazil,DanielCastroCarvalho@teleworm.us,Cohned,Waat9Tai3ch,"(21) 9263-9304",10/13/1951,MasterCard,5421197799234616,316,4/2023,973.087.262-74,Blue,93.2,169,0ec8eb80-2335-4311-98e1-70661c05d60d
31,male,Brazil,Mr.,Kaua,Martins,"Rua Cento e Cinco 212",Paulista,PE,53441-540,Brazil,KauaGoncalvesMartins@rhyta.com,Allind61,AiGhaiC1u,"(81) 5707-2083",11/11/1961,Visa,4916636590133134,579,1/2023,754.255.495-63,Green,99.0,178,343c916d-5489-42b1-ad67-27da57562a33
32,female,Brazil,Mrs.,Sophia,Melo,"Rua Eugênio Bellotto 1303","São Paulo",SP,04185-160,Brazil,SophiaOliveiraMelo@armyspy.com,Libereat,oor5Be1uu4,"(11) 7031-7278",10/14/1956,MasterCard,5146708847539519,950,12/2020,844.295.802-94,Green,92.5,171,acb732d7-9340-4504-8841-9a8b5d8bb2dd
33,female,Brazil,Ms.,Rebeca,Goncalves,"Loteamento Verão dos Trópicos 1485",Belém,PA,66929-020,Brazil,RebecaRibeiroGoncalves@einrot.com,Planstim1986,iquaiWei2ha,"(91) 3254-3835",1/23/1986,MasterCard,5247266962639224,219,3/2021,428.210.161-07,Black,98.9,158,d40720a4-8ac9-4916-a962-356fa026b849
34,male,Brazil,Mr.,José,Almeida,"Servidão Espíndola 1151",Florianópolis,SC,88049-220,Brazil,JoseMeloAlmeida@superrito.com,Loul1968,hei7aiNahx,"(48) 9925-4305",8/17/1968,Visa,4916163501642467,321,1/2019,999.854.009-76,Blue,67.3,188,2253a66c-da43-445f-bb8b-50300a225746
35,female,Brazil,Ms.,Julia,Cardoso,"Rua Valdemar Vicente Ferreira 172",Mossoró,RN,59621-570,Brazil,JuliaRodriguesCardoso@dayrep.com,Vies1935,queengieZ7,"(84) 4134-6203",1/12/1935,Visa,4556517738922130,130,5/2022,727.219.241-09,Blue,60.2,168,f8ee8a88-92e2-4a6e-9d9d-92ffae0ce641
36,female,Brazil,Ms.,Melissa,Melo,"Alameda Souza 948",Belém,PA,66916-480,Brazil,MelissaCunhaMelo@gustr.com,Frappovately,zevahNohp5I,"(91) 3035-3823",6/29/1975,Visa,4485418819087362,286,4/2019,812.290.910-84,Blue,77.0,164,b9c75af6-8cff-45d7-a19e-73e6b6259b42
37,male,Brazil,Mr.,Leonardo,Castro,"Rua Júlio Ribeiro 33","Rio de Janeiro",RJ,21040-330,Brazil,LeonardoCunhaCastro@cuvox.de,Hisolinsts,IeXauG1Iaz0,"(21) 9709-2479",5/29/1979,Visa,4532329492869054,662,8/2021,795.573.874-83,Blue,109.1,186,11c006ed-31c8-4adc-b1b5-ec2100afeba1
38,female,Brazil,Ms.,Bianca,Cavalcanti,"Beco Botafogo 500",Betim,MG,32663-530,Brazil,BiancaCarvalhoCavalcanti@dayrep.com,Creave,mei2Yeili,"(31) 5028-4994",4/13/1955,Visa,4556206263311956,847,10/2022,334.170.539-27,Purple,88.2,155,a29b26fe-91e6-406a-bdc8-8af874dbedfd
39,female,Brazil,Mrs.,Fernanda,Costa,"Rua dos Narcisos 70","Bragança Paulista",SP,12924-050,Brazil,FernandaSilvaCosta@teleworm.us,Tromen1991,zeo6Eoqui9,"(11) 5948-2206",1/4/1991,MasterCard,5183375096393230,288,2/2019,764.038.939-98,Yellow,80.8,156,d48328ec-6b0b-4200-bdf0-aeecc713cf91
40,male,Brazil,Mr.,Guilherme,Melo,"Rua Luciana Laridondo Barbizani 447",Votuporanga,SP,15503-289,Brazil,GuilhermePereiraMelo@gustr.com,Badvarld,deeh6ieHihi,"(17) 3388-3731",5/20/1959,Visa,4556056479744759,990,10/2022,801.512.986-96,Blue,69.7,170,422f49e0-84c1-42fa-8b47-a0698dea0c4b
41,female,Brazil,Mrs.,Vitoria,Martins,"Rua da Jamila 1706",Serra,ES,29173-423,Brazil,VitoriaFernandesMartins@cuvox.de,Heyedidecle,Ceev4voec,"(27) 3578-3250",8/26/1946,MasterCard,5355393425452165,047,12/2022,430.707.939-67,Red,92.4,156,23b440d7-4ac3-4e16-abcc-9c5df4ba7638
42,female,Brazil,Mrs.,Marina,Fernandes,"Rua Colônia Isabel 1312",Recife,PE,51350-391,Brazil,MarinaRibeiroFernandes@rhyta.com,Majecold,eich0Moo4,"(81) 7496-5468",11/19/1933,Visa,4716409260267703,659,3/2021,160.617.446-09,Purple,88.4,164,d58c7f86-3385-4e2f-b7d0-9e0a443962a5
43,female,Brazil,Ms.,Carla,Santos,"Rua Ricardo Gumbleton Daunt 1853",Campinas,SP,13105-160,Brazil,CarlaRochaSantos@rhyta.com,Madentopere,EeNohn9ae,"(19) 9646-8184",7/18/1978,MasterCard,5493320966788312,322,6/2020,967.680.424-08,Green,77.3,156,3084a44d-cffe-49ba-aa21-8391ab13015f
44,female,Brazil,Mrs.,Gabrielle,Oliveira,"Rua Alto Purús 428",Bauru,SP,17063-020,Brazil,GabriellePintoOliveira@teleworm.us,Witimpat1940,YoGh0caet7j,"(14) 6145-8862",8/12/1940,MasterCard,5266764841330383,678,5/2023,817.464.211-00,Purple,68.6,158,23cf99b0-5800-4016-8006-89b5b4ad0065
45,male,Brazil,Mr.,Cauã,Cunha,"Rua Itatinga 465",Queimados,RJ,26383-120,Brazil,CauaPereiraCunha@gustr.com,Oret1998,ais5Aiboo,"(21) 8623-8225",8/5/1998,Visa,4485466316554665,067,1/2020,170.543.576-98,Green,57.3,169,0439a23a-856c-4f61-86ff-6db1c13547ea
46,male,Brazil,Mr.,Nicolash,Souza,"Rua Canal Belém 1813",Curitiba,PR,81730-290,Brazil,NicolashRochaSouza@teleworm.us,Ocat1946,iap5feeRoh,"(41) 5492-3494",6/6/1946,Visa,4916654864513790,722,7/2020,715.064.099-03,Orange,100.4,163,35bf9f32-d7cf-42f1-a3aa-8b751158ef1d
47,female,Brazil,Ms.,Sophia,Pereira,"Rua Expedicionário Benedito Tinello 1775",Itatiba,SP,13250-359,Brazil,SophiaMeloPereira@einrot.com,Vight1964,osuaxeeW7,"(11) 2693-4261",8/27/1964,Visa,4485944106715035,555,8/2020,875.470.987-38,Blue,56.6,154,06741337-747c-489b-aec5-097a2eabee17
48,female,Brazil,Mrs.,Julia,Correia,"Rua Senador Firmino 1596",Betim,MG,32617-630,Brazil,JuliaSilvaCorreia@fleckens.hu,Slisho1983,oogoS9lai,"(31) 6995-6672",1/15/1983,MasterCard,5427249107142603,851,2/2021,928.511.118-17,Blue,81.3,174,0acfc1fc-f122-4ddc-b025-1666f727ed3f
49,male,Brazil,Mr.,Otávio,Silva,"Rua Manuel Antônio Portella 1943",Osasco,SP,06030-120,Brazil,OtavioBarbosaSilva@jourrapide.com,Formien,Shab9oushu,"(11) 8551-6511",6/6/1963,Visa,4556262511390326,241,9/2020,622.846.726-39,Blue,90.1,186,e5e02f29-165c-49ae-b680-e823a53294df
50,male,Brazil,Mr.,Vinicius,Araujo,"Servidão Delta 1307",Teresópolis,RJ,25955-110,Brazil,ViniciusSousaAraujo@jourrapide.com,Witally,veoLu3ath7r,"(21) 9422-9810",4/16/1964,MasterCard,5206244033755138,872,3/2019,156.742.168-78,Blue,102.2,176,6037055a-d15c-46e4-bab0-986becff78a0
51,male,Brazil,Mr.,Martim,Correia,"Praça Lions Clube-Vila Guilherme 522","São Paulo",SP,02032-040,Brazil,MartimPereiraCorreia@dayrep.com,Candia40,ua5CaodaW0,"(11) 7518-2487",8/20/1940,MasterCard,5424390129858496,166,10/2023,744.887.207-90,Red,96.8,177,aa356f9e-1528-4f69-9b17-b0e3b8aa1180
52,female,Brazil,Ms.,Giovanna,Almeida,"Rua Santa Cruz 1749","São Paulo",SP,04122-001,Brazil,GiovannaFerreiraAlmeida@einrot.com,Arkmadesain,cohSuj3Ah,"(11) 6310-6491",8/1/1943,MasterCard,5110266768891429,644,3/2023,419.580.610-00,Blue,58.2,161,b8f95f83-1aae-4410-80cc-d3632040e27d
53,female,Brazil,Ms.,Carolina,Cardoso,"Rua Getúlio Pinheiro 115","Presidente Prudente",SP,19020-270,Brazil,CarolinaFerreiraCardoso@cuvox.de,Solow1952,pei1eeCej9,"(18) 8576-5026",12/25/1952,MasterCard,5204692196485467,522,12/2022,449.153.983-90,Blue,92.3,155,5d9f3d4c-d733-4871-86ef-17b4daefb19b
54,female,Brazil,Ms.,Camila,Martins,"Rua Papa São Lúcio 1532",Campinas,SP,13068-225,Brazil,CamilaCavalcantiMartins@armyspy.com,Harstin,jax2maeP5ph,"(19) 2264-3850",11/26/1992,MasterCard,5326209002005117,655,8/2020,330.902.384-20,Green,81.7,156,fda6d799-92c1-4ab5-8a71-6a8a29b1df75
55,male,Brazil,Mr.,Júlio,Correia,"Avenida Nossa Senhora das Graças 1859",Itatiba,SP,13257-400,Brazil,JulioSilvaCorreia@cuvox.de,Obly1979,Chah8xeepee,"(11) 3658-2229",2/10/1979,Visa,4485838618825276,656,10/2019,748.697.755-90,Blue,83.3,181,f6490946-605b-409a-bda8-84547aef2207
56,female,Brazil,Mrs.,Leonor,Oliveira,"Rua Eusébio de Queiroz 1543",Hortolândia,SP,13188-002,Brazil,LeonorCavalcantiOliveira@jourrapide.com,Sagifen,AeYoo6soov,"(19) 5119-8547",4/20/1974,MasterCard,5575823048027345,879,8/2020,241.886.118-04,Purple,64.2,172,d75c84db-759a-417f-830b-3541d44e8ded
57,male,Brazil,Mr.,Guilherme,Ferreira,"Rua Manoel Apolinário 777",Recife,PE,52210-020,Brazil,GuilhermeAzevedoFerreira@teleworm.us,Glifer,eiToof3ve0Ee,"(81) 7772-9506",2/3/1988,Visa,4532060813356717,152,1/2019,808.418.993-04,Blue,72.2,172,c615d5bd-4e8c-40cd-be69-874dac4315df
58,male,Brazil,Mr.,Tomás,Cavalcanti,"Beco Carlos Araújo 1700","Belo Horizonte",MG,31540-421,Brazil,TomasMeloCavalcanti@cuvox.de,Ansinver,ho7IDuith3,"(31) 4818-2780",1/21/1963,MasterCard,5383570878982691,009,12/2020,666.454.161-05,Green,97.6,168,3d99d56d-84a2-4728-8727-09c5ce4e00f9
59,female,Brazil,Mrs.,Luana,Cardoso,"Rua Goiás 1959",Itapeva,SP,18403-135,Brazil,LuanaRibeiroCardoso@cuvox.de,Sagoonger,Woinoop7Ah,"(15) 7818-2358",6/29/1958,Visa,4532891571239376,039,11/2021,540.757.094-77,Red,69.8,171,94b375d8-9d43-4b0f-8c2f-5de163bb6f08
60,male,Brazil,Mr.,Pedro,Ferreira,"Rua Vereador Doutor José Bueno Monteiro 423",Mogi-Mirim,SP,13807-576,Brazil,PedroAzevedoFerreira@dayrep.com,Effat1995,Ohp8aimai,"(16) 7423-4581",4/18/1995,MasterCard,5176508790630999,304,9/2022,444.189.906-82,Orange,73.1,171,7ca84482-8de5-42e2-a859-dbc2954aebc6
61,male,Brazil,Mr.,Vitor,Ferreira,"Rua 1044 654",Criciúma,SC,88815-480,Brazil,VitorBarrosFerreira@fleckens.hu,Humbecioned51,cai4reCha1Ti,"(48) 3107-6844",9/16/1951,Visa,4916670654321319,539,6/2020,313.650.507-77,Blue,67.8,180,d754e1ca-7b88-49b3-a973-dfaa65bfb87a
62,male,Brazil,Mr.,Kai,Santos,"Rua Dezoito de Abril 1386","Jaboatão dos Guararapes",PE,54320-080,Brazil,KaiLimaSantos@fleckens.hu,Shamortaiss,Noh8eihei,"(81) 2993-8516",2/7/1937,Visa,4539433010941388,016,1/2022,774.840.613-87,Green,80.0,169,6fed2558-67eb-45a0-b424-a49403bc2ba8
63,male,Brazil,Mr.,Bruno,Barbosa,"Rua 902 398","Jaraguá do Sul",SC,89254-400,Brazil,BrunoDiasBarbosa@einrot.com,Coudifter,xas5Maeg,"(47) 2889-3207",4/20/1956,Visa,4929197520019393,033,12/2023,795.527.078-97,Blue,74.0,174,35b849cc-6f7c-4d85-a576-754b74c819c2
64,male,Brazil,Mr.,Matheus,Rocha,"Travessa Alexandre Rossi 1719",Itatiba,SP,13254-331,Brazil,MatheusPintoRocha@gustr.com,Cusion,shaesh4hooF,"(11) 6316-9327",10/31/1949,Visa,4929676265306800,382,4/2021,801.306.880-37,Black,77.5,180,46c49841-6a69-4b3f-b06b-ca4bf7c11ae0
65,female,Brazil,Ms.,Marisa,Pereira,"Avenida Gumercindo Soares de Camargo 537",Jundiaí,SP,13203-565,Brazil,MarisaCostaPereira@einrot.com,Couglag,Phoh4Thah,"(11) 2217-7661",9/18/1990,MasterCard,5163627475025062,217,6/2022,244.329.640-73,Orange,57.4,172,53159fc9-16ec-4d89-9d1f-a8ef599f6b48
66,male,Brazil,Mr.,Kauan,Cunha,"Rua Orlando Scarpinelli 1650",Jundiaí,SP,13214-720,Brazil,KauanGoncalvesCunha@einrot.com,Nownspattles,aeK5Cheu,"(11) 4223-5059",12/4/1996,MasterCard,5401737745268707,741,6/2021,638.594.680-06,Blue,93.5,176,67f5aba9-f0ee-4259-b406-b5d8e1376eae
67,male,Brazil,Mr.,Kauê,Goncalves,"Rua Professora Maria José Lira 681","Campina Grande",PB,58105-623,Brazil,KaueBarbosaGoncalves@fleckens.hu,Muchislover,ahZ9ieghah,"(83) 9819-8564",11/14/1934,Visa,4539533692552237,881,4/2021,187.944.959-55,Blue,95.9,178,7451d5f5-e8d8-4799-b691-980803697eb5
68,male,Brazil,Mr.,Miguel,Lima,"Rua Grajaú 1942","Feira de Santana",BA,44034-080,Brazil,MiguelMeloLima@fleckens.hu,Thave1985,neiTh7nai,"(75) 7700-3611",11/3/1985,Visa,4716506616917228,774,5/2023,392.693.764-51,Blue,98.0,190,d496c9f0-b3ed-43a0-9f2a-36808ea588b1
69,male,Brazil,Mr.,Fábio,Oliveira,"Rua Benjamin Nardy Filho 452",Itu,SP,13304-632,Brazil,FabioAraujoOliveira@rhyta.com,Threent,iepieYaiPh0,"(11) 7715-5006",4/13/1991,Visa,4916132448515011,109,2/2020,709.278.202-34,Blue,62.6,171,21e577aa-50fd-4957-a97e-37c7b003df04
70,male,Brazil,Mr.,Gabriel,Sousa,"Rua Escritor Edison Carneiro 732",Salvador,BA,41130-490,Brazil,GabrielAraujoSousa@gustr.com,Gratting,oo1vieX0,"(71) 4830-8533",1/26/1984,MasterCard,5264399710262870,648,4/2019,413.483.327-27,Green,112.4,186,1bb18a77-62d4-4e60-be2b-e31411559566
71,female,Brazil,Ms.,Sophia,Cunha,"Rua Vinte e Um 1411","Coronel Fabriciano",MG,35170-190,Brazil,SophiaCavalcantiCunha@cuvox.de,Calawas,cho1ahshahP,"(31) 4845-7077",11/10/1960,Visa,4716365439479050,701,7/2023,710.891.791-20,Orange,55.7,164,92e2d501-db41-4da3-8a21-4314211d548c
72,female,Brazil,Mrs.,Thaís,Rocha,"Praça Vicente Feola 1493","Santo André",SP,09070-020,Brazil,ThaisSilvaRocha@cuvox.de,Baged1996,aipho0OhYoh,"(11) 6251-9747",11/10/1996,MasterCard,5123914248957519,053,7/2020,515.451.173-57,Orange,78.1,170,d75927e2-6e20-4dc8-b81e-fc2d73f29d52
73,male,Brazil,Mr.,Pedro,Fernandes,"Rua Cláudia 1456","Santo André",SP,09050-540,Brazil,PedroRodriguesFernandes@einrot.com,Bretterl,Zohghah4,"(11) 4565-7439",5/18/1984,Visa,4532416764864986,934,9/2022,187.167.481-66,Green,105.6,186,874cbf5a-c302-4f71-8082-cc6ea8ae8baa
74,male,Brazil,Mr.,Julian,Costa,"Rua Mato Grosso 383","Cabo Frio",RJ,28915-260,Brazil,JulianSilvaCosta@armyspy.com,Yousbaged,eB3Pae4aegh,"(22) 6894-7110",9/21/1947,Visa,4556926856323759,932,7/2022,889.284.402-46,Blue,96.6,175,3a31ea5d-d939-4337-b83a-205092f44db0
75,female,Brazil,Mrs.,Giovana,Castro,"Rua Anísio Félix 1424",Salvador,BA,40252-040,Brazil,GiovanaAzevedoCastro@gustr.com,Seced1964,noh5eo5Xeu,"(71) 4530-3673",12/26/1964,MasterCard,5511407008107359,269,6/2022,311.160.443-82,Purple,85.1,164,cb644450-8a7b-4ba3-a222-40a52fce0e68
76,female,Brazil,Mrs.,Carolina,Dias,"Rua Pintassilgo 1236","São João da Boa Vista",SP,13873-516,Brazil,CarolinaBarbosaDias@jourrapide.com,Squitive1952,Thiej7choc,"(19) 2965-2646",4/30/1952,MasterCard,5404925486725855,615,11/2019,406.706.832-80,Green,102.7,164,a205b0e1-854a-4db0-a707-0bb76a43f583
77,male,Brazil,Mr.,Gabriel,Gomes,"Rua Expedicionário José Moreira Barbosa 1952",Aracaju,SE,49043-080,Brazil,GabrielPintoGomes@gustr.com,Pasters,Vi2zutai,"(79) 4232-9084",6/2/1966,MasterCard,5368085308960679,231,9/2019,373.157.711-90,Blue,89.1,179,e78a1cf2-00fd-4ced-8237-3ce31b8bf8f3
